Node Number =   5620
  289.28207035   42.22620145   42.22620100
  289.27827263   42.22553493   42.22553500
  289.27479717   42.22500939   42.22500900
  289.27014974   42.22429073   42.22429100
  289.26569665   42.22352334   42.22352300
  289.25914184   42.22332506   42.22332500
  289.26157076   42.22261695   42.22261700
  289.25564701   42.22269531   42.22269500
  289.25750154   42.22255158   42.22255200
  289.25226181   42.22147811   42.22147800
  289.25391650   42.22186011   42.22186000
  289.24449272   42.22319857   42.22319900
  289.24570716   42.22181204   42.22181200
  289.24723910   42.22053246   42.22053200
  289.24889765   42.22088303   42.22088300
  289.25073379   42.22102291   42.22102300
  289.24338654   42.22440109   42.22440100
  289.27752965   42.17405213   42.17405200
  289.27718202   42.17242449   42.17242400
  289.29099834   42.18281533   42.18281500
  289.28819031   42.18221502   42.18221500
  289.28561651   42.18168959   42.18169000
  289.28327934   42.18101499   42.18101500
  289.28216221   42.17958755   42.17958800
  289.28107889   42.17857799   42.17857800
  289.27961269   42.17723487   42.17723500
  289.27817851   42.17666705   42.17666700
  289.27676903   42.17549343   42.17549300
  289.29380751   42.18328863   42.18328900
  289.29695748   42.18411998   42.18412000
  289.30018685   42.18487508   42.18487500
  289.30404372   42.18616867   42.18616900
  289.30828565   42.18790864   42.18790900
  289.30754367   42.19125437   42.19125400
  289.30557621   42.19490957   42.19491000
  289.30472692   42.19802970   42.19803000
  289.30384527   42.20066352   42.20066400
  289.30247831   42.20340312   42.20340300
  289.30085558   42.20630357   42.20630400
  289.29817862   42.21213406   42.21213400
  289.29947399   42.20931315   42.20931300
  289.29632392   42.21520441   42.21520400
  289.29424321   42.21776950   42.21777000
  289.29182870   42.22110724   42.22110700
  289.28924846   42.22396698   42.22396700
  289.28469735   42.22358518   42.22358500
  289.28072893   42.22306197   42.22306200
  289.27688052   42.22267424   42.22267400
  289.27298035   42.22211777   42.22211800
  289.26997730   42.22188699   42.22188700
  289.26432601   42.22130722   42.22130700
  289.26674744   42.22155868   42.22155900
  289.25906872   42.22203727   42.22203700
  289.26113717   42.22100326   42.22100300
  289.25533091   42.22149632   42.22149600
  289.25637563   42.22182569   42.22182600
  289.25739212   42.22126361   42.22126400
  289.25165981   42.22029207   42.22029200
  289.25264739   42.22050864   42.22050900
  289.25362516   42.22073776   42.22073800
  289.25491655   42.22073788   42.22073800
  289.24176804   42.22353366   42.22353400
  289.24294512   42.22237585   42.22237600
  289.24419655   42.22111947   42.22111900
  289.24543027   42.21981808   42.21981800
  289.24672660   42.21858609   42.21858600
  289.24845147   42.21935655   42.21935700
  289.25007295   42.21991669   42.21991700
  289.27521269   42.17409580   42.17409600
  289.27440266   42.17275850   42.17275900
  289.29027574   42.18464673   42.18464700
  289.28804262   42.18390689   42.18390700
  289.28611975   42.18327112   42.18327100
  289.28395964   42.18249734   42.18249700
  289.28260787   42.18193437   42.18193400
  289.28167359   42.18076229   42.18076200
  289.28065949   42.17975897   42.17975900
  289.27934846   42.17894147   42.17894100
  289.27785346   42.17798803   42.17798800
  289.27615894   42.17687964   42.17688000
  289.27471173   42.17573371   42.17573400
  289.29323391   42.18554299   42.18554300
  289.29623967   42.18654744   42.18654700
  289.30117680   42.18822700   42.18822700
  289.29866629   42.18733303   42.18733300
  289.30386394   42.18972494   42.18972500
  289.30356257   42.19246947   42.19246900
  289.30138928   42.19753711   42.19753700
  289.30154375   42.19499898   42.19499900
  289.30086264   42.19969539   42.19969500
  289.29971882   42.20180579   42.20180600
  289.29876699   42.20366667   42.20366700
  289.29615340   42.20817227   42.20817200
  289.29692071   42.20586392   42.20586400
  289.29355219   42.21357987   42.21358000
  289.29483804   42.21065902   42.21065900
  289.29196835   42.21610224   42.21610200
  289.28998680   42.21837963   42.21838000
  289.28722677   42.22102240   42.22102200
  289.28315980   42.22070587   42.22070600
  289.27918969   42.22039866   42.22039900
  289.27595803   42.22013992   42.22014000
  289.27070576   42.21992072   42.21992100
  289.27356145   42.21995720   42.21995700
  289.26812016   42.21988460   42.21988500
  289.26250414   42.21984869   42.21984900
  289.26515934   42.21982136   42.21982100
  289.25899389   42.22093853   42.22093900
  289.26006603   42.22024616   42.22024600
  289.26083987   42.21972335   42.21972300
  289.25624626   42.22073568   42.22073600
  289.25760636   42.22034638   42.22034600
  289.25142069   42.21929333   42.21929300
  289.25279511   42.21971983   42.21972000
  289.25370159   42.21982244   42.21982200
  289.25474526   42.21989063   42.21989100
  289.25570064   42.21976050   42.21976000
  289.24785619   42.21754039   42.21754000
  289.24973429   42.21828633   42.21828600
  289.27269766   42.17436713   42.17436700
  289.27245556   42.17313793   42.17313800
  289.29115480   42.18660454   42.18660500
  289.28901813   42.18590119   42.18590100
  289.28726832   42.18526266   42.18526300
  289.28589073   42.18456016   42.18456000
  289.28437812   42.18393713   42.18393700
  289.28278866   42.18366482   42.18366500
  289.28195199   42.18280030   42.18280000
  289.28116427   42.18184200   42.18184200
  289.28035354   42.18097561   42.18097600
  289.27924496   42.18025992   42.18026000
  289.27779628   42.17954257   42.17954300
  289.27647621   42.17907072   42.17907100
  289.27534613   42.17819193   42.17819200
  289.27398951   42.17720309   42.17720300
  289.27239347   42.17605551   42.17605600
  289.29350812   42.18746193   42.18746200
  289.29613763   42.18859065   42.18859100
  289.30079690   42.19079560   42.19079600
  289.29849063   42.18950194   42.18950200
  289.30064003   42.19304113   42.19304100
  289.29793541   42.19907758   42.19907800
  289.29822279   42.19728651   42.19728700
  289.29841928   42.19509249   42.19509200
  289.29708837   42.20098494   42.20098500
  289.29646308   42.20252610   42.20252600
  289.29571505   42.20390322   42.20390300
  289.29321325   42.20876315   42.20876300
  289.29412833   42.20706940   42.20706900
  289.29495230   42.20549395   42.20549400
  289.29019338   42.21405918   42.21405900
  289.29138480   42.21211116   42.21211100
  289.29242681   42.21018979   42.21019000
  289.28788592   42.21620894   42.21620900
  289.28613542   42.21836132   42.21836100
  289.28211559   42.21821603   42.21821600
  289.27820517   42.21802612   42.21802600
  289.27480225   42.21797359   42.21797400
  289.26883230   42.21784983   42.21785000
  289.27175232   42.21772462   42.21772500
  289.26624506   42.21800723   42.21800700
  289.26138181   42.21899231   42.21899200
  289.26245304   42.21879868   42.21879900
  289.26408043   42.21857720   42.21857700
  289.25873334   42.21988478   42.21988500
  289.25962325   42.21940287   42.21940300
  289.26039576   42.21887486   42.21887500
  289.25665602   42.21963037   42.21963000
  289.25752798   42.21939237   42.21939200
  289.25157083   42.21837399   42.21837400
  289.25283818   42.21898451   42.21898500
  289.25373465   42.21922852   42.21922900
  289.25477831   42.21929670   42.21929700
  289.25573368   42.21916658   42.21916700
  289.24893883   42.21641686   42.21641700
  289.25080271   42.21734555   42.21734600
  289.27066797   42.17518187   42.17518200
  289.27067554   42.17357637   42.17357600
  289.29175903   42.18814692   42.18814700
  289.28976756   42.18744426   42.18744400
  289.28775015   42.18694852   42.18694900
  289.28661846   42.18622289   42.18622300
  289.28551111   42.18562611   42.18562600
  289.28443264   42.18505197   42.18505200
  289.28336985   42.18446617   42.18446600
  289.28195991   42.18450163   42.18450200
  289.28147869   42.18354795   42.18354800
  289.28072435   42.18273569   42.18273600
  289.27988408   42.18213270   42.18213300
  289.27914503   42.18130739   42.18130700
  289.27770975   42.18092345   42.18092300
  289.27629872   42.18024447   42.18024400
  289.27449069   42.17980578   42.17980600
  289.27336095   42.17846297   42.17846300
  289.27198048   42.17758940   42.17758900
  289.27016417   42.17664721   42.17664700
  289.29381957   42.18927300   42.18927300
  289.29595169   42.19039038   42.19039000
  289.29826778   42.19166613   42.19166600
  289.29828744   42.19349834   42.19349800
  289.29559326   42.20023730   42.20023700
  289.29598990   42.19870759   42.19870800
  289.29618184   42.19738140   42.19738100
  289.29620202   42.19614268   42.19614300
  289.29616265   42.19492889   42.19492900
  289.29493718   42.20201492   42.20201500
  289.29409769   42.20346454   42.20346500
  289.29327430   42.20506285   42.20506300
  289.29071799   42.20963289   42.20963300
  289.29152674   42.20816803   42.20816800
  289.29238134   42.20647050   42.20647100
  289.28801204   42.21421988   42.21422000
  289.28896349   42.21245953   42.21246000
  289.28984044   42.21099473   42.21099500
  289.28481047   42.21611325   42.21611300
  289.28589022   42.21449787   42.21449800
  289.27920531   42.21610263   42.21610300
  289.28205884   42.21603774   42.21603800
  289.27656549   42.21596528   42.21596500
  289.27429778   42.21612192   42.21612200
  289.26760932   42.21646005   42.21646000
  289.27000131   42.21646102   42.21646100
  289.27213352   42.21625540   42.21625500
  289.26466477   42.21757086   42.21757100
  289.26558667   42.21646626   42.21646600
  289.26100922   42.21828080   42.21828100
  289.26171568   42.21836737   42.21836700
  289.26225513   42.21791091   42.21791100
  289.26318015   42.21794612   42.21794600
  289.25839992   42.21915437   42.21915400
  289.25934614   42.21869852   42.21869900
  289.26029232   42.21824265   42.21824300
  289.25661351   42.21897744   42.21897700
  289.25748546   42.21873945   42.21873900
  289.25196587   42.21769266   42.21769300
  289.25288028   42.21822307   42.21822300
  289.25383386   42.21857811   42.21857800
  289.25477677   42.21877643   42.21877600
  289.25569118   42.21851365   42.21851400
  289.25144818   42.21629818   42.21629800
  289.24990104   42.21522140   42.21522100
  289.25228791   42.21701269   42.21701300
  289.26864829   42.17595341   42.17595300
  289.26901409   42.17428965   42.17429000
  289.29186694   42.18968694   42.18968700
  289.28999826   42.18877781   42.18877800
  289.28846711   42.18804130   42.18804100
  289.28684862   42.18761046   42.18761000
  289.28594572   42.18702636   42.18702600
  289.28510558   42.18646596   42.18646600
  289.28429674   42.18592821   42.18592800
  289.28348788   42.18553270   42.18553300
  289.28261531   42.18494782   42.18494800
  289.28147882   42.18492506   42.18492500
  289.28115061   42.18421175   42.18421200
  289.28058954   42.18389913   42.18389900
  289.28034568   42.18340549   42.18340500
  289.27973635   42.18290198   42.18290200
  289.27906768   42.18257525   42.18257500
  289.27903758   42.18203738   42.18203700
  289.27825169   42.18175885   42.18175900
  289.27719142   42.18188475   42.18188500
