Node Number =   5620
  289.25279511   42.21971983   -3.61400000
  289.25370159   42.21982244   -3.98100000
  289.25474526   42.21989063   -3.30000000
  289.25570064   42.21976050   -3.30000000
  289.24785619   42.21754039  -10.19400000
  289.24973429   42.21828633   -7.32800000
  289.27269766   42.17436713   -5.90800000
  289.27245556   42.17313793   -3.27100000
  289.29115480   42.18660454   10.74200000
  289.28901813   42.18590119   11.66700000
  289.28726832   42.18526266    9.26200000
  289.28589073   42.18456016    8.94500000
  289.28437812   42.18393713    8.68000000
  289.28278866   42.18366482    4.99900000
  289.28195199   42.18280030   -5.90000000
  289.28116427   42.18184200  -14.70300000
  289.28035354   42.18097561  -10.96300000
  289.27924496   42.18025992   -4.42300000
  289.27779628   42.17954257   -3.36200000
  289.27647621   42.17907072  -10.08000000
  289.27534613   42.17819193   -6.83900000
  289.27398951   42.17720309   -6.14900000
  289.27239347   42.17605551  -11.42300000
  289.29350812   42.18746193    9.69300000
  289.29613763   42.18859065   11.63100000
  289.30079690   42.19079560   15.42200000
  289.29849063   42.18950194   14.58400000
  289.30064003   42.19304113   17.04800000
  289.29793541   42.19907758   13.76000000
  289.29822279   42.19728651   11.99900000
  289.29841928   42.19509249   13.92000000
  289.29708837   42.20098494   10.40700000
  289.29646308   42.20252610    9.38200000
  289.29571505   42.20390322    9.49800000
  289.29321325   42.20876315   13.34800000
  289.29412833   42.20706940   11.86200000
  289.29495230   42.20549395   10.45600000
  289.29019338   42.21405918   14.78300000
  289.29138480   42.21211116   13.61100000
  289.29242681   42.21018979   11.63800000
  289.28788592   42.21620894   13.72900000
  289.28613542   42.21836132   10.93100000
  289.28211559   42.21821603   12.67900000
  289.27820517   42.21802612   12.81200000
  289.27480225   42.21797359   13.20400000
  289.26883230   42.21784983   10.70800000
  289.27175232   42.21772462   10.71500000
  289.26624506   42.21800723   10.38000000
  289.26138181   42.21899231    1.81100000
  289.26245304   42.21879868    4.20600000
  289.26408043   42.21857720    5.25900000
  289.25873334   42.21988478    1.62400000
  289.25962325   42.21940287    0.75500000
  289.26039576   42.21887486    1.20400000
  289.25665602   42.21963037   -3.29000000
  289.25752798   42.21939237   -3.66000000
  289.25157083   42.21837399   -5.26100000
  289.25283818   42.21898451   -5.08100000
  289.25373465   42.21922852   -3.84800000
  289.25477831   42.21929670   -2.72700000
  289.25573368   42.21916658   -3.09800000
  289.24893883   42.21641686   -8.06800000
  289.25080271   42.21734555   -4.64800000
  289.27066797   42.17518187   -7.14700000
  289.27067554   42.17357637   -4.04900000
  289.29175903   42.18814692   10.00000000
  289.28976756   42.18744426    9.44900000
  289.28775015   42.18694852   10.82100000
  289.28661846   42.18622289    8.94900000
  289.28551111   42.18562611    8.01500000
  289.28443264   42.18505197    9.03100000
  289.28336985   42.18446617    7.24200000
  289.28195991   42.18450163    3.68600000
  289.28147869   42.18354795   -6.34000000
  289.28072435   42.18273569  -14.98000000
  289.27988408   42.18213270   -8.85600000
  289.27914503   42.18130739   -7.53700000
  289.27770975   42.18092345   -2.44700000
  289.27629872   42.18024447   -4.79600000
  289.27449069   42.17980578   -6.90100000
  289.27336095   42.17846297   -9.29500000
  289.27198048   42.17758940  -12.63700000
  289.27016417   42.17664721  -11.48800000
  289.29381957   42.18927300    8.63600000
